index,kind,name,codepoint,ink,light,sig
739,symbol,TriggerLeft,U+F10A,0,0,0000000000000000
740,symbol,TriggerRight,U+F10B,0,0,0000000000000000
741,symbol,BumperLeft,U+F10C,0,0,0000000000000000
742,symbol,BumperRight,U+F10D,0,0,0000000000000000
743,symbol,Dpad,U+F10E,0,0,0000000000000000
744,symbol,HMD,U+F119,0,0,0000000000000000
745,symbol,FolderHorizontal,U+F12B,0,0,0000000000000000
746,symbol,MicrophoneListening,U+F12E,0,0,0000000000000000
747,symbol,Video360,U+F131,0,0,0000000000000000
748,symbol,GiftboxOpen,U+F133,0,0,0000000000000000
749,symbol,StatusCircleOuter,U+F136,0,0,0000000000000000
750,symbol,StatusCircleRing,U+F138,0,0,0000000000000000
751,symbol,StatusTriangleOuter,U+F139,0,0,0000000000000000
752,symbol,StatusTriangleExclamation,U+F13B,0,0,0000000000000000
753,symbol,StatusCircleExclamation,U+F13C,0,0,0000000000000000
754,symbol,StatusCircleErrorX,U+F13D,0,0,0000000000000000
755,symbol,StatusCircleCheckmark,U+F13E,0,0,0000000000000000
756,symbol,StatusCircleInfo,U+F13F,0,0,0000000000000000
757,symbol,StatusCircleBlock,U+F140,0,0,0000000000000000
758,symbol,StatusCircleQuestionMark,U+F142,0,0,0000000000000000
759,symbol,StatusCircleSync,U+F143,0,0,0000000000000000
760,symbol,Dial1,U+F146,0,0,0000000000000000
761,symbol,Dial2,U+F147,0,0,0000000000000000
762,symbol,Dial3,U+F148,0,0,0000000000000000
763,symbol,Dial4,U+F149,0,0,0000000000000000
764,symbol,Dial5,U+F14A,0,0,0000000000000000
765,symbol,Dial6,U+F14B,0,0,0000000000000000
